,Date,NERC,Event,Area,Disturbance,Loss,Affected Customers,Restoration Date
0,2004-01-01 00:00:00,WECC,7:30 a.m.,Northern California,Winter Storm,170,263000,2004-01-02 00:00:00
1,2004-01-07 00:00:00,WECC,Midnight,King County,Snow Storm,150,145000,2004-01-10 00:00:00
2,2004-01-08 00:00:00,NPCC,3:00 p.m.,"Lake Placid/Saranac, New York",Public Appeal to Reduce Load,100,18600,2004-01-10 00:00:00
3,2004-01-14 00:00:00,NPCC,6:00 a.m.,"Lake Placid/Saranac, New York",Public Appeal to Reduce Load,100,18600,2004-01-17 00:00:00
4,2004-01-26 00:00:00,SERC ,10:00 a.m.,Central South Carolina,Ice Storm,500-700,150000,2004-01-28 00:00:00
5,2004-01-26 00:00:00,SERC,2:00 p.m.,North and Central area of Georgia,Ice Storm,Less than 150,30689,2004-01-27 00:00:00
6,2004-01-26 00:00:00,SERC,4:00 p.m.,Central and Eastern North Carolina and Northern and Eastern South Carolina,Ice Storm,475,9905,2004-01-29 00:00:00
7,2004-01-28 00:00:00, MAAC,1:09 p.m. ,"Harford County, Maryland",Ice Storm,Approx. 300,"Approx. 70,000",2004-01-29 00:00:00
8,2004-02-05 00:00:00,MAAC,8:00 p.m.,"Maryland, Southeastern West Virginia, Northern Virginia, Northern Pennsylvania and South Central Pennsylvania",Ice Storm,60,87456,2004-02-09 00:00:00
9,2004-02-14 00:00:00,NPCC,8:00 p.m.,"Lake Colby, Lake Placid, Tupper Lake",Public Appeal to Reduce Load,Approx. 30  ,18600,2004-02-16 00:00:00
10,2004-02-17 00:00:00,WECC,2:25 p.m.,"San Francisco Bay area, California",Lightning struck Intertie Breaker ,220, PG&E,2004-02-17 00:00:00
11,2004-02-25 00:00:00,WECC,12:01 a.m.  ,Northern California,Winter Storm,240,505000,2004-02-26 00:00:00
12,2004-02-26 00:00:00,SERC,12:00 a.m.,Georgia,Severe Storm,10,47165,2004-02-26 00:00:00
13,2004-03-04 00:00:00,ERCOT,5:00 a.m.,North Texas,High Winds - Severe Storm,Less than 300,63000,2004-03-16 00:00:00
14,2004-03-07 00:00:00,SERC,6:30 p.m.,North and South Carolina,Severe Storm,1000,206000,2004-03-09 00:00:00
15,2004-03-08 00:00:00,WECC,6:22 p.m.,Southern California not including LA,Inadequate Resources,300,"Approx. 70,000",2004-03-08 00:00:00
16,2004-03-17 00:00:00,WECC,1:27 p.m. ,"El Paso, Texas",Faulty Switch,Approx. 300,"Approx. 100,000",2004-03-17 00:00:00
17,2004-04-10 00:00:00,ERCOT,8:00 p.m.,"Houston, Texas and surrounding suburban areas",Thunderstorms,Approx. 100,"85,000 at peak",2004-04-11 00:00:00
18,2004-04-12 00:00:00,FRCC,5:30 a.m. ,FPL's service territory mostly in Naples and Ft. Myers Florida,Storm with High Winds,250,179000,2004-04-12 00:00:00
19,2004-04-27 00:00:00,WECC,12:35 p.m.,Snohomish County Washington,Strong Winds,Approx. 300,187000,2004-04-30 00:00:00
