,Date,Event,Restoration Date,Restoration Time,Area,NERC,Disturbance,Loss,Affected Customers
0,2023-01-01 00:00:00,00:06:00,01/01/2023,03:57:00,California: Riverside County;,WECC,Vandalism,0,0
1,2023-01-01 00:00:00,09:55:00,01/01/2023,10:30:00,California: Sacramento County;,WECC,System Operations,0,0
2,2023-01-01 00:00:00,14:47:00,01/01/2023,16:50:00,Florida: Citrus County;,SERC,Vandalism,19,3509
3,2023-01-02 00:00:00,16:12:00,01/03/2023,09:30:00,Texas: Dallas County;,TRE,Vandalism,0,0
4,2023-01-02 00:00:00,03:16:00,01/02/2023,16:46:00,New Mexico:,WECC,Vandalism,432,0
5,2023-01-02 00:00:00,18:22:00,01/02/2023,22:27:00,Arkansas: Union County; Louisiana: Ouachita Parish;,SERC,Severe Weather,20,6849
6,2023-01-03 00:00:00,11:45:00,01/03/2023,12:00:00,Michigan: Ingham County;,RF,Vandalism,0,0
7,2023-01-05 00:00:00,08:19:00,01/05/2023,08:20:00,Louisiana: Concordia Parish;,SERC,Transmission Interruption,23,1631
8,2023-01-05 00:00:00,07:30:00,01/05/2023,09:30:00,Washington: Lewis County;,WECC,Suspicious Activity,0,0
9,2023-01-06 00:00:00,09:30:00,01/06/2023,11:30:00,Ohio: Sandusky County;,RF,Suspicious Activity,Unknown,Unknown
10,2023-01-07 00:00:00,22:00:00,01/08/2023,21:00:00,California: Sacramento County;,WECC,Severe Weather,458,185434
11,2023-01-07 00:00:00,23:44:00,01/08/2023,02:29:00,"Texas: Jasper County, Tyler County;",TRE,Transmission Interruption,20,9823
12,2023-01-08 00:00:00,18:40:00,01/08/2023,18:54:00,Texas: Bowie County;,TRE,Vandalism,0,0
13,2023-01-12 00:00:00,10:00:00,Unkonwn,Unknown,California: Sacramento County;,WECC,Suspicious Activity,0,0
14,2023-01-12 00:00:00,14:00:00,01/13/2023,03:00:00,Alabama: Georgia:,SERC,Severe Weather,1158,162000
15,2023-01-12 00:00:00,11:58:00,01/12/2023,12:30:00,Washington: King County;,WECC,Vandalism,Unknown,Unknown
16,2023-01-13 00:00:00,00:00:00,01/13/2023,01:00:00,Texas: Fayette County;,TRE,Suspicious Activity,0,0
17,2023-01-19 00:00:00,11:00:00,01/19/2023,13:00:00,South Carolina: Sumter County;,SERC,Suspicious Activity,Unknown,Unknown
18,2023-01-20 00:00:00,10:45:00,Unknown,Unknown,Michigan: Oakland County;,RF,Vandalism,Unknown,0
19,2023-01-23 00:00:00,07:05:00,01/24/2023,17:17:00,Connecticut: Rhode Island: Massachusetts: Vermont: New Hampshire: Maine:,NPCC,Severe Weather,Unknown,41000
20,2023-01-23 00:00:00,17:00:00,Unknown,Unknown,California: Sacramento County;,WECC,Suspicious Activity,Unknown,Unknown
21,2023-01-23 00:00:00,09:21:00,Unknown,Unknown,California: Sacramento County;,WECC,Suspicious Activity,Unknown,Unknown
22,2023-01-24 00:00:00,14:00:00,01/24/2023,15:00:00,Louisiana:,SERC,Vandalism,0,0
23,2023-01-24 00:00:00,17:10:00,01/24/2023,17:20:00,New York: Queens County;,NPCC,Suspicious Activity,0,0
24,2023-01-24 00:00:00,15:25:00,01/26/2023,20:20:00,Texas: Harris County;,TRE,Severe Weather,Unknown,100731
25,2023-01-25 00:00:00,22:30:00,01/26/2023,00:01:00,Washington: Kitsap County;,WECC,Vandalism,0,0
26,2023-01-25 00:00:00,15:57:00,01/25/2023,17:38:00,Texas: Cameron County;,TRE,Suspicious Activity,0,0
27,2023-01-25 00:00:00,03:30:00,01/25/2023,13:00:00,Arkansas: Texas: Louisiana: Mississippi:,SERC,Severe Weather,Unknown,60958
28,2023-01-26 00:00:00,07:00:00,01/26/2023,14:46:00,Washington: King County;,WECC,Vandalism,0,0
29,2023-01-28 00:00:00,04:00:00,01/28/2023,05:00:00,Illinois: Franklin County;,SERC/RF,Suspicious Activity,0,0
30,2023-01-29 00:00:00,08:19:00,01/29/2023,11:07:00,Kentucky:,SERC,System Operations,0,0
31,2023-01-30 00:00:00,10:30:00,Unknown,Unknown,Minnesota:,MRO,Suspicious Activity,Unknown,Unknown
32,2023-01-31 00:00:00,08:15:00,02/06/2023,17:00:00,"Texas: Dallas County, Anderson County, Bosque County, Collin County, Comanche County, Cooke County, Delta County, Denton County, Ellis County, Erath County, Fannin County, Freestone County, Hamilton County, Henderson County, Hill County, Hood County, Hopkins County, Hunt County, Jack County, Johnson County, Kaufman County, Lamar County, Navarro County, Palo Pinto County, Parker County, Rains County, Red River County, Rockwall County, Somervell County, Tarrant County, Van Zandt County, Wichita County, Wise County;",TRE,Severe Weather,Unknown,360000
33,2023-02-01 00:00:00,05:00:00,02/04/2023,22:39:00,Texas: Travis County;,TRE,Severe Weather,370,173879
34,2023-02-02 00:00:00,22:07:00,02/03/2023,16:08:00,Colorado:,WECC,Vandalism,0,0
35,2023-02-02 00:00:00,11:00:00,Unknown,Unknown,Pennsylvania: Westmoreland County;,RF,Suspicious Activity,0,0
36,2023-02-02 00:00:00,08:15:00,02/02/2023,19:45:00,Arkansas: Mississippi: Texas:,SERC,Severe Weather,Unknown,74426
