,Date,NERC,Area,Disturbance,Loss,Affected Customers,Restoration Date
0,2002-01-30 00:00:00,SPP,Oklahoma,Ice Storm,500.0,1881134.0,2002-02-07 12:00:00
1,2002-01-29 00:00:00,SPP,Kansas,Ice Storm,550.0,270000.0,
2,2002-01-30 00:00:00,SPP,Missouri,Ice Storm,210.0,95000.0,2002-02-10 21:00:00
4,2002-03-09 00:00:00,ECAR,Michigan,Severe Weather,190.0,190000.0,2002-03-11 12:00:00
12,2002-08-28 00:00:00,SERC,Florida,Severe Weather,227.50106613533714,25000.0,2002-08-28 15:38:00
16,2002-11-17 00:00:00,NPCC,Connecticut,Ice Storm,105.43906513139353,224912.0,2002-11-21 08:00:00
17,2002-12-03 00:00:00,SPP,Arkansas,Ice Storm,12.615873818093775,43000.0,2002-12-09 22:30:00
18,2002-12-11 00:00:00,SERC,Virginia,Winter Storm,63.0,130000.0,2002-12-13 22:00:00
21,2002-12-25 00:00:00,MAAC,Pennsylvania,Winter Storm,250.0,106000.0,2002-12-26 05:00:00
22,2002-12-25 00:00:00,MAAC,Pennsylvania,Winter Storm,116.81364646383125,95630.0,2002-12-27 08:30:00
25,2003-04-03 00:00:00,ECAR,Michigan,Ice Storm,300.0,425000.0,2003-04-06 00:00:00
28,2003-04-28 00:00:00,MAIN,Wisconsin,Vandalism,467.254585855325,54000.0,2003-04-29 00:00:00
30,2003-05-02 00:00:00,SERC,Georgia,Severe Thunderstorms,130.0,1020.0,2003-05-03 00:00:00
37,2003-07-04 00:00:00,MAIN,Wisconsin,Severe Thunderstorms,150.0,52000.0,2003-07-04 00:00:00
38,2003-07-04 00:00:00,ECAR,Michigan,Severe Thunderstorms,487.6268857986171,131000.0,2003-07-06 00:00:00
39,2003-07-04 00:00:00,ECAR,Ohio,Severe Storms,200.0,55142.0,2003-07-06 00:00:00
40,2003-07-05 00:00:00,MAIN,Illinois,Severe Storms,80.0,130000.0,2003-07-05 00:00:00
41,2003-07-07 00:00:00,MAIN,Illinois,Severe Thunderstorms,152.13809315449382,72000.0,2003-07-07 00:00:00
42,2003-07-08 00:00:00,ECAR,Ohio,Severe Thunderstorms,11000.0,134500.0,2003-07-11 00:00:00
43,2003-07-09 00:00:00,SERC,Virginia,Severe Thunderstorms,120.0,80000.0,2003-07-09 00:00:00
45,2003-07-21 00:00:00,MAAC,Pennsylvania,Severe Storms,116.81364646383125,185000.0,2003-07-24 00:00:00
56,2003-08-26 00:00:00,MAAC,Maryland,Severe Thunderstorms,625.0,930.0,2003-08-29 00:00:00
57,2003-08-26 00:00:00,MAAC,Washington,Severe Thunderstorms,1500.0,153000.0,2003-08-31 00:00:00
68,2003-11-12 00:00:00,ECAR,Michigan,Wind Storm,487.6268857986171,245000.0,2003-11-16 00:00:00
69,2003-11-12 00:00:00,MAIN,Illinois,High Winds,152.13809315449382,51000.0,2003-11-12 00:00:00
71,2003-11-13 00:00:00,MAAC,Maryland,High Winds,375.0,110000.0,2003-11-16 00:00:00
74,2003-11-13 00:00:00,SERC,Virginia,Wind Storm,300.0,67000.0,2003-11-13 00:00:00
83,2003-12-28 00:00:00,WECC,California,Winter Storm,160.0,241000.0,2004-01-01 00:00:00
84,2004-01-01 00:00:00,WECC,California,Winter Storm,170.0,263000.0,2004-01-02 00:00:00
88,2004-01-26 00:00:00,SERC,South Carolina,Ice Storm,4598.028909817714,150000.0,2004-01-28 00:00:00
89,2004-01-26 00:00:00,SERC,Georgia,Ice Storm,1495.8704706470123,30689.0,2004-01-27 00:00:00
90,2004-01-26 00:00:00,SERC,South Carolina,Ice Storm,475.0,9905.0,2004-01-29 00:00:00
91,2004-01-28 00:00:00,MAAC,Maryland,Ice Storm,300.0,70000.0,2004-01-29 00:00:00
92,2004-02-05 00:00:00,MAAC,West Virginia,Ice Storm,60.0,87456.0,2004-02-09 00:00:00
95,2004-02-25 00:00:00,WECC,California,Winter Storm,240.0,505000.0,2004-02-26 00:00:00
96,2004-02-26 00:00:00,SERC,Georgia,Severe Storm,10.0,47165.0,2004-02-26 00:00:00
98,2004-03-07 00:00:00,SERC,South Carolina,Severe Storm,1000.0,206000.0,2004-03-09 00:00:00
101,2004-04-10 00:00:00,ERCOT,Texas,Thunderstorms,100.0,850.0,2004-04-11 00:00:00
109,2004-05-21 00:00:00,ECAR,Michigan,Severe Thunderstorms,303.0,122600.0,2004-05-26 00:00:00
110,2004-05-21 00:00:00,ECAR,Michigan,Severe Thunderstorms,200.0,248209.0,2004-05-25 00:00:00
111,2004-05-21 00:00:00,ECAR,Michigan,Severe Thunderstorms,630.0,2500.0,2004-05-24 00:00:00
120,2004-06-23 00:00:00,WECC,Idaho,Load Shedding,157.0,35000.0,2004-06-23 00:00:00
121,2004-06-23 00:00:00,SERC,Georgia,Thunderstorms,50.0,50595.0,2004-06-23 00:00:00
124,2004-07-07 00:00:00,SERC,Virginia,Severe Thunderstorms,120.0,88110.0,2004-07-07 00:00:00
126,2004-07-13 00:00:00,ECAR,Indiana,Severe Thunderstorms,600.0,135000.0,2004-07-17 00:00:00
129,2004-07-21 00:00:00,MAIN,Illinois,Severe Thunderstorms,200.0,200000.0,2004-07-22 00:00:00
131,2004-07-25 00:00:00,SERC,Mississippi,Severe Storms,61.0,61004.0,2004-07-25 00:00:00
133,2004-08-03 00:00:00,MAIN,Illinois,Severe Storm,127.0,127000.0,2004-08-04 00:00:00
173,2004-12-01 00:00:00,MAAC,Maryland,High Winds,270.0,122000.0,2004-12-02 00:00:00
177,2005-01-04 00:00:00,SPP,Kansas,Winter Storm,200.0,211000.0,2005-01-14 00:00:00
180,2005-01-07 00:00:00,WECC,California,Winter Storm,120.0,442000.0,2005-01-10 00:00:00
181,2005-01-23 00:00:00,PR,Island of Puerto Rico,Voltage Reduction,140.0,89843.63636363637,2005-01-23 00:00:00
184,2005-01-29 00:00:00,SERC,Georgia,Ice Storm,100.0,150000.0,2005-01-31 00:00:00
185,2005-01-29 00:00:00,SERC,Georgia,Ice Storm,1495.8704706470123,82000.0,2005-01-30 00:00:00
186,2005-02-01 00:00:00,PR,Island of Puerto Rico,Voltage Reduction,460.0,89843.63636363637,2005-02-01 00:00:00
188,2005-02-16 00:00:00,PR,Island of Puerto Rico,Load Shedding,325.0,139438.0,2005-02-16 00:00:00
190,2005-02-24 00:00:00,PR,Island of Puerto Rico,Voltage Reduction,200.0,89843.63636363637,2005-02-24 00:00:00
192,2005-04-01 00:00:00,ECAR,Ohio,Winter Storm,5233.25136157964,211000.0,2005-04-06 00:00:00
194,2005-04-23 00:00:00,PR,Island of Puerto Rico,Voltage Reduction,345.0,116552.0,2005-04-23 00:00:00
195,2005-04-23 00:00:00,ECAR,Ohio,Winter Storm,5233.25136157964,150000.0,2005-04-27 00:00:00
196,2005-04-30 00:00:00,SERC,Georgia,Thunderstorms,100.0,51808.0,2005-04-30 00:00:00
198,2005-05-11 00:00:00,PR,Island of Puerto Rico,Voltage Reduction,529.0,89843.63636363637,2005-05-11 00:00:00
205,2005-06-20 00:00:00,PR,Island of Puerto Rico,Voltage Reduction,35.0,600000.0,2005-06-20 00:00:00
209,2005-07-02 00:00:00,PR,Island of Puerto Rico,Load Shedding,226.0,132290.0,2005-07-02 00:00:00
